opposition,venue,file
Birmingham City,h,WBABir23
Birmingham City,a,BirWBA23
Blackburn Rovers,h,WBABburn23
Blackburn Rovers,a,BburnWBA23
Blackpool,h,WBABpool23
Blackpool,a,BpoolWBA23
Bristol City,h,WBABriC23
Bristol City,a,BriCWBA23
Burnley,h,WBABur23
Burnley,a,BurWBA23
Cardiff City,h,WBACar23
Cardiff City,a,CarWBA23
Coventry City,h,WBACov23
Coventry City,a,CovWBA23
Huddersfield Town,h,WBAHud23
Huddersfield Town,a,HudWBA23
Hull City,h,WBAHull23
Hull City,a,HullWBA23
Luton Town,h,WBALut23
Luton Town,a,LutWBA23
Middlesbrough,h,WBAMid23
Middlesbrough,a,MidWBA23
Millwall,h,WBAMil23
Millwall,a,MilWBA23
Norwich City,h,WBANor23
Norwich City,a,NorWBA23
Preston North End,h,WBAPNE23
Preston North End,a,PNEWBA23
QPR,h,WBAQPR23
QPR,a,QPRWBA23
Reading,h,WBARea23
Reading,a,ReaWBA23
Rotherham United,h,WBARot23
Rotherham United,a,RotWBA23
Sheffield United,h,WBASheffU23
Sheffield United,a,SheffUWBA23
Stoke City,h,WBASto23
Stoke City,a,StoWBA23
Sunderland,h,WBASun23
Sunderland,a,SunWBA23
Swansea City,h,WBASwa23
Swansea City,a,SwaWBA23
Watford,h,WBAWat23
Watford,a,WatWBA23
Wigan Athletic,h,WBAWig23
Wigan Athletic,a,WigWBA23
